Release Coconut 62;;;;;;;;;;;;;;;;;;;;;;
Anmeldung;Tech.;Component (km);Trunk;Atrifactory Version-Build-ID;"first IEU-Deployment
(tt.mm.jj)";UE;2 Config EU / IEU;3 Configuration.yml;4 Release Notes;5 Dependencies;6 ITU verfügbar;7 Deployment Support verfügbar;8 CI/CD verfügbar;9 SW verfügbar;10 Config ITU;11 Abnahme IEU;12 Integrationstest IEU;13 Testplan verfügbar;14 Deploymentplan ITU;15 CAB-Freigabe für ITU;;
U;TIBCO;ESB-ParameterSuche;TIBCO\BW6\ParameterSuche;;;15;2;1;1;-1;2;2;2;-1;-1;-1;1;-1;2;-1;;
n/a;TIBCO;ESB-ParameterVerwaltung;TIBCO\BW6\ParameterVerwaltung;;;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;;
n/a;TIBCO;ESB-Routensuche;TIBCO\BW6\Routensuche;;;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;;
U;TIBCO;ESB-SharedFiles;TIBCO\BW6\SharedFiles;;;15;2;1;1;-1;2;2;2;-1;2;-1;1;-1;2;-1;;
n/a;TIBCO;ESB-SharedServices;TIBCO\BW6\SharedServices;;;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;;
U;TIBCO;ESB-StammdatenBereitstellung;TIBCO\BW6\StammdatenBereitstellung;;;15;-1;1;1;-1;2;2;2;-1;-1;-1;1;-1;2;-1;Nachtrag RM aufgrund der Rückmeldung des PO;
C;TIBCO;ESB-SystemtrassenAnforderungsBereitstellung;TIBCO\BW6\SystemtrassenAnforderungsBereitstellung;;;15;2;1;1;-1;2;2;2;-1;2;-1;1;-1;2;-1;;
U;TIBCO;ESB-SystemtrassenAnforderungsVerwaltung;TIBCO\BW6\SystemtrassenAnforderungsVerwaltung;;;15;2;1;1;-1;2;2;2;-1;2;-1;1;-1;2;-1;;
n/a;TIBCO;ESB-SzenarioVerwaltung;TIBCO\BW6\SzenarioVerwaltung;;;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;;
U;TIBCO;ESB-TrassenProduktPruefenUndErgaenzen;TIBCO\BW6\TrassenProduktPruefenUndErgaenzen;;;15;2;1;1;-1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;TIBCO;ESB-TrassenVerwaltung;TIBCO\BW6\TrassenVerwaltung;;;15;2;1;1;-1;2;2;2;-1;2;-1;1;-1;2;-1;;
;;;;;;;;;;;;;;;;;;;;;;
;;;______________________________________________;;;;;;;;;;;;;;;;;;;
